name, status, id, URL
Gerald L. Neuman,yes,10619,http://hls.harvard.edu/faculty/directory/10619/Neuman
Charles J. Ogletree Jr.,no,10635,http://hls.harvard.edu/faculty/directory/10635/Ogletree
Richard D Parker,no,10648,http://hls.harvard.edu/faculty/directory/10648/Parker
Brian K. Price,no,10683,http://hls.harvard.edu/faculty/directory/10683/Price
Todd D. Rakoff,no,10694,http://hls.harvard.edu/faculty/directory/10694/Rakoff
J. Mark Ramseyer,no,10697,http://hls.harvard.edu/faculty/directory/10697/Ramseyer
Mark J. Roe,no,10725,http://hls.harvard.edu/faculty/directory/10725/Roe
David Rosenberg,no,10733,http://hls.harvard.edu/faculty/directory/10733/Rosenberg
William B. Rubenstein,yes,10742,http://hls.harvard.edu/faculty/directory/10742/Rubenstein
Benjamin I. Sachs,no,10753,http://hls.harvard.edu/faculty/directory/10753/Sachs
Frank E.A. Sander,no,10762,http://hls.harvard.edu/faculty/directory/10762/Sander
Lewis D. Sargentich,yes,10764,http://hls.harvard.edu/faculty/directory/10764/Sargentich
Hal S. Scott,no,10781,http://hls.harvard.edu/faculty/directory/10781/Scott
David L. Shapiro,no,10791,http://hls.harvard.edu/faculty/directory/10791/Shapiro
Steven Shavell,no,10793,http://hls.harvard.edu/faculty/directory/10793/Shavell
Stephen E. Shay,yes,10794,http://hls.harvard.edu/faculty/directory/10794/Shay
Joseph William Singer,no,10811,http://hls.harvard.edu/faculty/directory/10811/Singer
Robert H. Sitkoff,yes,10813,http://hls.harvard.edu/faculty/directory/10813/Sitkoff
Henry E. Smith,no,10822,http://hls.harvard.edu/faculty/directory/10822/Smith
Holger Spamann,yes,10831,http://hls.harvard.edu/faculty/directory/10831/Spamann
Kathryn E. Spier,no,10835,http://hls.harvard.edu/faculty/directory/10835/Spier
Carol S. Steiker,yes,10840,http://hls.harvard.edu/faculty/directory/10840/Steiker
Henry J. Steiner,no,10844,http://hls.harvard.edu/faculty/directory/10844/Steiner
Matthew C. Stephenson,yes,10845,http://hls.harvard.edu/faculty/directory/10845/Stephenson
Alan A. Stone M.D.,no,10853,http://hls.harvard.edu/faculty/directory/10853/Stone
Guhan Subramanian,no,10868,http://hls.harvard.edu/faculty/directory/10868/Subramanian
Jeannie C. Suk,yes,10869,http://hls.harvard.edu/faculty/directory/10869/Suk
Ronald S. Sullivan Jr.,no,10870,http://hls.harvard.edu/faculty/directory/10870/Sullivan
Cass R. Sunstein,no,10871,http://hls.harvard.edu/faculty/directory/10871/Sunstein
Laurence H. Tribe,yes,10899,http://hls.harvard.edu/faculty/directory/10899/Tribe
Mark Tushnet,yes,10906,http://hls.harvard.edu/faculty/directory/10906/Tushnet
Roberto Mangabeira Unger,yes,10910,http://hls.harvard.edu/faculty/directory/10910/Unger
Adrian Vermeule,yes,10919,http://hls.harvard.edu/faculty/directory/10919/Vermeule
